dim_1,dim_2,gene,0,1
91.0,1579.0,CD11c,111.79569892473118,1584.731182795699
91.0,1891.0,CD14,40.368115942028986,1887.7826086956522
93.0,557.0,CD11c,109.37468982630273,544.9330024813896
93.0,1590.0,CD14,111.79569892473118,1584.731182795699
94.0,493.0,CD14,90.82271944922547,503.76247848537
94.0,976.0,CD14,65.96335697399527,1004.7907801418439
94.0,1565.0,CD11c,111.79569892473118,1584.731182795699
94.0,1618.0,CD14,119.3118556701031,1618.1829896907216
94.0,1816.0,CD14,92.6413881748072,1834.9293059125964
95.0,111.0,CD14,105.61361014994233,76.18223760092272
96.0,541.0,CD11c,109.37468982630273,544.9330024813896
96.0,1281.0,CD14,84.32042253521126,1307.406690140845
98.0,1315.0,CD11c,84.32042253521126,1307.406690140845
99.0,1572.0,CD14,111.79569892473118,1584.731182795699
101.0,535.0,CD14,109.37468982630273,544.9330024813896
103.0,560.0,CD11c,109.37468982630273,544.9330024813896
103.0,564.0,CD11c,109.37468982630273,544.9330024813896
103.0,1913.0,CD11c,124.0185873605948,1935.899628252788
104.0,1300.0,CD14,84.32042253521126,1307.406690140845
104.0,1907.0,CD14,124.0185873605948,1935.899628252788
105.0,556.0,CD11c,109.37468982630273,544.9330024813896
105.0,1326.0,CD11c,122.02067464635473,1335.4341675734495
105.0,1834.0,CD14,92.6413881748072,1834.9293059125964
106.0,57.0,CD14,105.61361014994233,76.18223760092272
107.0,467.0,CD14,86.2970711297071,464.8305439330544
109.0,827.0,CD14,104.33103448275862,821.4551724137931
109.0,1533.0,CD11c,92.19025522041764,1523.0580046403713
109.0,1564.0,CD11c,111.79569892473118,1584.731182795699
110.0,1281.0,CD14,119.42213883677299,1260.6491557223264
111.0,11.0,CD14,106.15297450424929,37.97450424929178
112.0,444.0,CD14,86.2970711297071,464.8305439330544
112.0,554.0,CD11c,109.37468982630273,544.9330024813896
112.0,1620.0,CD14,119.3118556701031,1618.1829896907216
114.0,851.0,CD14,128.53169469598964,858.764553686934
115.0,50.0,CD14,105.61361014994233,76.18223760092272
115.0,152.0,CD14,113.37745098039215,177.23692810457516
115.0,1279.0,CD14,119.42213883677299,1260.6491557223264
117.0,536.0,CD11c,126.87873754152824,537.7990033222592
117.0,854.0,CD14,128.53169469598964,858.764553686934
118.0,761.0,CD14,125.2443729903537,762.5005359056806
119.0,1295.0,CD14,141.0162037037037,1298.8252314814815
120.0,833.0,CD14,128.53169469598964,858.764553686934
121.0,842.0,CD14,128.53169469598964,858.764553686934
121.0,1274.0,CD14,119.42213883677299,1260.6491557223264
123.0,38.0,CD14,106.15297450424929,37.97450424929178
124.0,858.0,CD14,128.53169469598964,858.764553686934
124.0,1853.0,CD14,155.34883720930233,1844.2093023255813
125.0,452.0,CD14,127.48498845265588,478.0
125.0,1581.0,CD14,111.79569892473118,1584.731182795699
125.0,1586.0,CD11c,111.79569892473118,1584.731182795699
126.0,1128.0,CD14,136.20634920634922,1135.3101343101343
126.0,1312.0,CD11c,141.0162037037037,1298.8252314814815
126.0,1876.0,CD11c,134.8148148148148,1887.5296296296297
126.0,1888.0,CD11c,134.8148148148148,1887.5296296296297
127.0,575.0,CD11c,126.87873754152824,537.7990033222592
127.0,1899.0,CD11c,143.0608228980322,1904.9499105545617
128.0,1907.0,CD11c,143.0608228980322,1904.9499105545617
129.0,551.0,CD14,126.87873754152824,537.7990033222592
